1	172.20.96.1	t001	dd02	433	2023-12-17 17:04:53	2023-12-17 17:12:06	5
1	172.20.96.1	t001	dd01	18	2023-12-17 17:12:08	2023-12-17 17:12:26	5
1	172.20.96.1	t001	dd02	17	2023-12-17 17:12:28	2023-12-17 17:12:46	5
1	172.20.96.1	admin1	ddmir4	203	2023-12-17 17:12:56	2023-12-17 17:16:19	5
1	172.20.96.1	t001	dd02	8154	2023-12-17 17:16:31	2023-12-17 19:32:25	5
1	172.20.96.1	admin1	ddmir4	4422	2023-12-17 19:32:35	2023-12-17 20:46:18	5
1	172.20.96.1	admin1	ddmir4	184	2023-12-17 20:46:19	2023-12-17 20:49:24	5
1	172.20.96.1	admin1	ddmir4	1633	2023-12-17 20:49:24	2023-12-17 21:16:38	5
1	172.20.96.1	admin1	ddmir4	798	2023-12-17 21:16:38	2023-12-17 21:29:57	5
1	172.20.96.1	admin1	ddmir4	138	2023-12-17 21:29:58	2023-12-17 21:32:17	5
1	172.20.96.1	admin1	ddmir3	34	2023-12-17 21:32:19	2023-12-17 21:32:53	5
1	172.20.96.1	t001	dd02	460	2023-12-17 21:33:03	2023-12-17 21:40:43	5
1	172.20.96.1	admin1	ddmir4	436	2023-12-17 21:34:10	2023-12-17 21:41:27	5
1	172.20.96.1	admin1	ddmir4	236	2023-12-17 21:41:27	2023-12-17 21:45:24	5
1	172.20.96.1	admin1	ddmir4	90	2023-12-17 21:45:24	2023-12-17 21:46:54	5
1	172.20.96.1	admin1	ddmir4	73	2023-12-17 21:46:54	2023-12-17 21:48:07	5
1	172.20.96.1	admin1	ddmir4	3647	2023-12-17 21:48:08	2023-12-17 22:48:56	5
1	172.20.96.1	admin1	ddmir4	105	2023-12-17 22:48:56	2023-12-17 22:50:41	5
1	172.20.96.1	admin1	ddmir4	183	2023-12-17 22:50:42	2023-12-17 22:53:46	5
1	172.20.96.1	admin1	ddmir4	193	2023-12-17 22:53:46	2023-12-17 22:56:59	5
1	172.20.96.1	admin1	ddmir4	2824	2023-12-17 22:56:59	2023-12-17 23:44:04	5
1	172.20.96.1	admin1	ddmir4	563	2023-12-17 23:44:04	2023-12-17 23:53:28	5
1	172.20.96.1	admin1	ddmir4	1528	2023-12-17 23:53:28	2023-12-18 00:18:56	5
1	172.20.96.1	admin1	ddmir4	1459	2023-12-18 00:18:58	2023-12-18 02:15:50	5
1	172.20.96.1	admin1	ddmir4	91	2023-12-18 02:15:50	2023-12-18 02:17:22	5
1	172.20.96.1	admin1	ddmir4	149	2023-12-18 02:17:22	2023-12-18 02:19:52	5
1	172.20.96.1	admin1	ddmir4	191	2023-12-18 02:19:52	2023-12-18 02:23:04	5
1	172.20.96.1	admin1	ddmir4	48	2023-12-18 02:23:06	2023-12-18 02:23:55	5
1	172.20.96.1	admin1	ddmir4	104	2023-12-18 02:23:55	2023-12-18 02:25:39	5
1	172.20.96.1	admin1	ddmir4	157	2023-12-18 02:25:41	2023-12-18 02:28:19	5
1	172.20.96.1	admin1	ddmir4	20065	2023-12-18 02:28:21	2023-12-18 22:41:21	5
